Filename; Timestamp from FTS; Matching Timestamp from TXT; Branch number; Position in branch; Branch length; Branch generation; branchCode; Offset [mm]
BronchoscopyVideo_1_20250325T093638_openCV_17.mhd; 1742891800236; 1742891800237; 0; 30; 129; 1; 1; 6.2
BronchoscopyVideo_1_20250325T093638_openCV_18.mhd; 1742891800336; 1742891800337; 0; 29; 129; 1; 1; 5.5
BronchoscopyVideo_1_20250325T093638_openCV_19.mhd; 1742891800436; 1742891800437; 0; 29; 129; 1; 1; 6.1
BronchoscopyVideo_1_20250325T093638_openCV_20.mhd; 1742891800536; 1742891800536; 0; 29; 129; 1; 1; 5.5
BronchoscopyVideo_1_20250325T093638_openCV_21.mhd; 1742891800636; 1742891800637; 0; 30; 129; 1; 1; 6
BronchoscopyVideo_1_20250325T093638_openCV_22.mhd; 1742891800736; 1742891800740; 0; 29; 129; 1; 1; 6.5
BronchoscopyVideo_1_20250325T093638_openCV_23.mhd; 1742891800836; 1742891800837; 0; 30; 129; 1; 1; 7.2
BronchoscopyVideo_1_20250325T093638_openCV_24.mhd; 1742891800936; 1742891800936; 0; 30; 129; 1; 1; 6.9
BronchoscopyVideo_1_20250325T093638_openCV_25.mhd; 1742891801036; 1742891801036; 0; 30; 129; 1; 1; 6.1
BronchoscopyVideo_1_20250325T093638_openCV_26.mhd; 1742891801136; 1742891801136; 0; 34; 129; 1; 1; 5.9
BronchoscopyVideo_1_20250325T093638_openCV_27.mhd; 1742891801236; 1742891801236; 0; 35; 129; 1; 1; 6.1
BronchoscopyVideo_1_20250325T093638_openCV_28.mhd; 1742891801336; 1742891801336; 0; 35; 129; 1; 1; 5.8
BronchoscopyVideo_1_20250325T093638_openCV_29.mhd; 1742891801436; 1742891801436; 0; 36; 129; 1; 1; 5.5
BronchoscopyVideo_1_20250325T093638_openCV_30.mhd; 1742891801536; 1742891801536; 0; 38; 129; 1; 1; 5.8
BronchoscopyVideo_1_20250325T093638_openCV_31.mhd; 1742891801636; 1742891801636; 0; 37; 129; 1; 1; 5.7
BronchoscopyVideo_1_20250325T093638_openCV_32.mhd; 1742891801736; 1742891801736; 0; 37; 129; 1; 1; 5.8
BronchoscopyVideo_1_20250325T093638_openCV_33.mhd; 1742891801836; 1742891801836; 0; 37; 129; 1; 1; 5.8
BronchoscopyVideo_1_20250325T093638_openCV_34.mhd; 1742891801936; 1742891801936; 0; 37; 129; 1; 1; 5.9
BronchoscopyVideo_1_20250325T093638_openCV_35.mhd; 1742891802036; 1742891802035; 0; 37; 129; 1; 1; 5.7
BronchoscopyVideo_1_20250325T093638_openCV_36.mhd; 1742891802136; 1742891802135; 0; 38; 129; 1; 1; 5.5
BronchoscopyVideo_1_20250325T093638_openCV_37.mhd; 1742891802236; 1742891802235; 0; 38; 129; 1; 1; 5.3
BronchoscopyVideo_1_20250325T093638_openCV_38.mhd; 1742891802336; 1742891802336; 0; 39; 129; 1; 1; 5.2
BronchoscopyVideo_1_20250325T093638_openCV_39.mhd; 1742891802436; 1742891802435; 0; 40; 129; 1; 1; 5
BronchoscopyVideo_1_20250325T093638_openCV_40.mhd; 1742891802536; 1742891802535; 0; 40; 129; 1; 1; 5.2
BronchoscopyVideo_1_20250325T093638_openCV_41.mhd; 1742891802636; 1742891802635; 0; 40; 129; 1; 1; 5.4
BronchoscopyVideo_1_20250325T093638_openCV_42.mhd; 1742891802736; 1742891802735; 0; 40; 129; 1; 1; 5.3
BronchoscopyVideo_1_20250325T093638_openCV_43.mhd; 1742891802836; 1742891802834; 0; 40; 129; 1; 1; 4.9
BronchoscopyVideo_1_20250325T093638_openCV_44.mhd; 1742891802936; 1742891802935; 0; 41; 129; 1; 1; 4.5
BronchoscopyVideo_1_20250325T093638_openCV_45.mhd; 1742891803036; 1742891803035; 0; 42; 129; 1; 1; 3.8
BronchoscopyVideo_1_20250325T093638_openCV_46.mhd; 1742891803136; 1742891803134; 0; 43; 129; 1; 1; 4.3
BronchoscopyVideo_1_20250325T093638_openCV_47.mhd; 1742891803236; 1742891803235; 0; 42; 129; 1; 1; 4.7
BronchoscopyVideo_1_20250325T093638_openCV_48.mhd; 1742891803336; 1742891803334; 0; 43; 129; 1; 1; 5
BronchoscopyVideo_1_20250325T093638_openCV_49.mhd; 1742891803436; 1742891803434; 0; 45; 129; 1; 1; 6
BronchoscopyVideo_1_20250325T093638_openCV_50.mhd; 1742891803536; 1742891803534; 0; 52; 129; 1; 1; 6.8
BronchoscopyVideo_1_20250325T093638_openCV_51.mhd; 1742891803636; 1742891803634; 0; 58; 129; 1; 1; 7.3
BronchoscopyVideo_1_20250325T093638_openCV_52.mhd; 1742891803736; 1742891803734; 0; 63; 129; 1; 1; 7.4
BronchoscopyVideo_1_20250325T093638_openCV_53.mhd; 1742891803836; 1742891803834; 0; 67; 129; 1; 1; 7.7
BronchoscopyVideo_1_20250325T093638_openCV_54.mhd; 1742891803936; 1742891803934; 0; 68; 129; 1; 1; 7
BronchoscopyVideo_1_20250325T093638_openCV_55.mhd; 1742891804036; 1742891804034; 0; 68; 129; 1; 1; 8
BronchoscopyVideo_1_20250325T093638_openCV_56.mhd; 1742891804136; 1742891804134; 0; 71; 129; 1; 1; 8.1
BronchoscopyVideo_1_20250325T093638_openCV_57.mhd; 1742891804236; 1742891804234; 0; 75; 129; 1; 1; 8.2
BronchoscopyVideo_1_20250325T093638_openCV_58.mhd; 1742891804336; 1742891804334; 0; 79; 129; 1; 1; 8.3
BronchoscopyVideo_1_20250325T093638_openCV_59.mhd; 1742891804436; 1742891804434; 0; 80; 129; 1; 1; 9.2
BronchoscopyVideo_1_20250325T093638_openCV_60.mhd; 1742891804536; 1742891804534; 0; 83; 129; 1; 1; 10.2
BronchoscopyVideo_1_20250325T093638_openCV_61.mhd; 1742891804636; 1742891804634; 0; 86; 129; 1; 1; 9.8
BronchoscopyVideo_1_20250325T093638_openCV_62.mhd; 1742891804736; 1742891804734; 0; 89; 129; 1; 1; 8.6
BronchoscopyVideo_1_20250325T093638_openCV_63.mhd; 1742891804836; 1742891804834; 0; 90; 129; 1; 1; 7.4
BronchoscopyVideo_1_20250325T093638_openCV_64.mhd; 1742891804936; 1742891804934; 0; 96; 129; 1; 1; 4.8
BronchoscopyVideo_1_20250325T093638_openCV_65.mhd; 1742891805036; 1742891805034; 0; 99; 129; 1; 1; 4.4
BronchoscopyVideo_1_20250325T093638_openCV_66.mhd; 1742891805136; 1742891805133; 0; 99; 129; 1; 1; 5.2
BronchoscopyVideo_1_20250325T093638_openCV_67.mhd; 1742891805236; 1742891805234; 0; 102; 129; 1; 1; 5.2
BronchoscopyVideo_1_20250325T093638_openCV_68.mhd; 1742891805336; 1742891805333; 0; 101; 129; 1; 1; 4.9
BronchoscopyVideo_1_20250325T093638_openCV_69.mhd; 1742891805436; 1742891805433; 0; 102; 129; 1; 1; 4.6
BronchoscopyVideo_1_20250325T093638_openCV_70.mhd; 1742891805536; 1742891805532; 0; 106; 129; 1; 1; 6.6
BronchoscopyVideo_1_20250325T093638_openCV_71.mhd; 1742891805636; 1742891805633; 0; 107; 129; 1; 1; 6.2
BronchoscopyVideo_1_20250325T093638_openCV_72.mhd; 1742891805736; 1742891805732; 0; 109; 129; 1; 1; 6.9
BronchoscopyVideo_1_20250325T093638_openCV_73.mhd; 1742891805836; 1742891805832; 0; 112; 129; 1; 1; 6.7
BronchoscopyVideo_1_20250325T093638_openCV_74.mhd; 1742891805936; 1742891805932; 0; 116; 129; 1; 1; 7.5
BronchoscopyVideo_1_20250325T093638_openCV_75.mhd; 1742891806036; 1742891806032; 0; 117; 129; 1; 1; 7.5
BronchoscopyVideo_1_20250325T093638_openCV_76.mhd; 1742891806136; 1742891806132; 0; 117; 129; 1; 1; 7.4
BronchoscopyVideo_1_20250325T093638_openCV_77.mhd; 1742891806236; 1742891806232; 0; 117; 129; 1; 1; 7.4
BronchoscopyVideo_1_20250325T093638_openCV_78.mhd; 1742891806336; 1742891806332; 0; 122; 129; 1; 1; 6.7
BronchoscopyVideo_1_20250325T093638_openCV_79.mhd; 1742891806436; 1742891806432; 0; 125; 129; 1; 1; 7.4
BronchoscopyVideo_1_20250325T093638_openCV_80.mhd; 1742891806536; 1742891806532; 3; 6; 36; 2; 1,2; 8.5
BronchoscopyVideo_1_20250325T093638_openCV_81.mhd; 1742891806636; 1742891806632; 3; 9; 36; 2; 1,2; 7.2
BronchoscopyVideo_1_20250325T093638_openCV_82.mhd; 1742891806736; 1742891806732; 3; 12; 36; 2; 1,2; 5.8
BronchoscopyVideo_1_20250325T093638_openCV_83.mhd; 1742891806836; 1742891806832; 3; 12; 36; 2; 1,2; 6.6
BronchoscopyVideo_1_20250325T093638_openCV_84.mhd; 1742891806936; 1742891806932; 3; 13; 36; 2; 1,2; 6.8
BronchoscopyVideo_1_20250325T093638_openCV_85.mhd; 1742891807036; 1742891807032; 3; 15; 36; 2; 1,2; 6.8
BronchoscopyVideo_1_20250325T093638_openCV_86.mhd; 1742891807136; 1742891807132; 3; 21; 36; 2; 1,2; 6.3
BronchoscopyVideo_1_20250325T093638_openCV_87.mhd; 1742891807236; 1742891807232; 3; 25; 36; 2; 1,2; 6.2
BronchoscopyVideo_1_20250325T093638_openCV_88.mhd; 1742891807336; 1742891807331; 3; 28; 36; 2; 1,2; 5.5
BronchoscopyVideo_1_20250325T093638_openCV_89.mhd; 1742891807436; 1742891807432; 3; 28; 36; 2; 1,2; 5.6
BronchoscopyVideo_1_20250325T093638_openCV_90.mhd; 1742891807536; 1742891807531; 3; 29; 36; 2; 1,2; 3.2
BronchoscopyVideo_1_20250325T093638_openCV_91.mhd; 1742891807636; 1742891807631; 3; 29; 36; 2; 1,2; 1.3
BronchoscopyVideo_1_20250325T093638_openCV_92.mhd; 1742891807736; 1742891807731; 3; 29; 36; 2; 1,2; 1.4
BronchoscopyVideo_1_20250325T093638_openCV_93.mhd; 1742891807836; 1742891807830; 3; 29; 36; 2; 1,2; 4.8
BronchoscopyVideo_1_20250325T093638_openCV_94.mhd; 1742891807936; 1742891807930; 3; 29; 36; 2; 1,2; 6.3
BronchoscopyVideo_1_20250325T093638_openCV_95.mhd; 1742891808036; 1742891808030; 3; 30; 36; 2; 1,2; 7.2
BronchoscopyVideo_1_20250325T093638_openCV_96.mhd; 1742891808136; 1742891808130; 15; 6; 27; 3; 1,2,1; 7.5
BronchoscopyVideo_1_20250325T093638_openCV_97.mhd; 1742891808236; 1742891808230; 15; 8; 27; 3; 1,2,1; 8.8
BronchoscopyVideo_1_20250325T093638_openCV_98.mhd; 1742891808336; 1742891808330; 15; 9; 27; 3; 1,2,1; 10
BronchoscopyVideo_1_20250325T093638_openCV_99.mhd; 1742891808436; 1742891808430; 15; 9; 27; 3; 1,2,1; 8.4
BronchoscopyVideo_1_20250325T093638_openCV_100.mhd; 1742891808536; 1742891808530; 15; 9; 27; 3; 1,2,1; 8.2
BronchoscopyVideo_1_20250325T093638_openCV_101.mhd; 1742891808636; 1742891808630; 15; 10; 27; 3; 1,2,1; 9
BronchoscopyVideo_1_20250325T093638_openCV_102.mhd; 1742891808736; 1742891808730; 15; 9; 27; 3; 1,2,1; 8.8
BronchoscopyVideo_1_20250325T093638_openCV_103.mhd; 1742891808836; 1742891808830; 15; 10; 27; 3; 1,2,1; 8.9
BronchoscopyVideo_1_20250325T093638_openCV_104.mhd; 1742891808936; 1742891808930; 15; 9; 27; 3; 1,2,1; 8.1
BronchoscopyVideo_1_20250325T093638_openCV_105.mhd; 1742891809036; 1742891809030; 15; 8; 27; 3; 1,2,1; 7.5
BronchoscopyVideo_1_20250325T093638_openCV_106.mhd; 1742891809136; 1742891809130; 15; 9; 27; 3; 1,2,1; 8.3
BronchoscopyVideo_1_20250325T093638_openCV_107.mhd; 1742891809236; 1742891809230; 15; 10; 27; 3; 1,2,1; 11.9
BronchoscopyVideo_1_20250325T093638_openCV_108.mhd; 1742891809336; 1742891809330; 15; 12; 27; 3; 1,2,1; 12.7
BronchoscopyVideo_1_20250325T093638_openCV_109.mhd; 1742891809436; 1742891809430; 15; 13; 27; 3; 1,2,1; 13.3
BronchoscopyVideo_1_20250325T093638_openCV_110.mhd; 1742891809536; 1742891809530; 15; 13; 27; 3; 1,2,1; 12
BronchoscopyVideo_1_20250325T093638_openCV_111.mhd; 1742891809636; 1742891809630; 15; 13; 27; 3; 1,2,1; 6.9
BronchoscopyVideo_1_20250325T093638_openCV_112.mhd; 1742891809736; 1742891809730; 15; 13; 27; 3; 1,2,1; 6.2
BronchoscopyVideo_1_20250325T093638_openCV_113.mhd; 1742891809836; 1742891809829; 15; 15; 27; 3; 1,2,1; 6.7
BronchoscopyVideo_1_20250325T093638_openCV_114.mhd; 1742891809936; 1742891809929; 15; 16; 27; 3; 1,2,1; 7.8
BronchoscopyVideo_1_20250325T093638_openCV_115.mhd; 1742891810036; 1742891810029; 15; 16; 27; 3; 1,2,1; 9.3
BronchoscopyVideo_1_20250325T093638_openCV_116.mhd; 1742891810136; 1742891810129; 15; 17; 27; 3; 1,2,1; 9.4
BronchoscopyVideo_1_20250325T093638_openCV_117.mhd; 1742891810236; 1742891810229; 15; 19; 27; 3; 1,2,1; 8.9
BronchoscopyVideo_1_20250325T093638_openCV_118.mhd; 1742891810336; 1742891810329; 15; 21; 27; 3; 1,2,1; 8.9
BronchoscopyVideo_1_20250325T093638_openCV_119.mhd; 1742891810436; 1742891810429; 15; 20; 27; 3; 1,2,1; 8
BronchoscopyVideo_1_20250325T093638_openCV_120.mhd; 1742891810536; 1742891810529; 15; 20; 27; 3; 1,2,1; 7.2
BronchoscopyVideo_1_20250325T093638_openCV_121.mhd; 1742891810636; 1742891810629; 15; 20; 27; 3; 1,2,1; 6.2
BronchoscopyVideo_1_20250325T093638_openCV_122.mhd; 1742891810736; 1742891810728; 15; 22; 27; 3; 1,2,1; 6.8
BronchoscopyVideo_1_20250325T093638_openCV_123.mhd; 1742891810836; 1742891810828; 39; 8; 14; 4; 1,2,1,1; 7.3
BronchoscopyVideo_1_20250325T093638_openCV_124.mhd; 1742891810936; 1742891810928; 39; 9; 14; 4; 1,2,1,1; 6.9
BronchoscopyVideo_1_20250325T093638_openCV_125.mhd; 1742891811036; 1742891811028; 39; 9; 14; 4; 1,2,1,1; 5.8
BronchoscopyVideo_1_20250325T093638_openCV_126.mhd; 1742891811136; 1742891811128; 39; 9; 14; 4; 1,2,1,1; 3.4
BronchoscopyVideo_1_20250325T093638_openCV_127.mhd; 1742891811236; 1742891811228; 39; 8; 14; 4; 1,2,1,1; 1.8
BronchoscopyVideo_1_20250325T093638_openCV_128.mhd; 1742891811336; 1742891811328; 39; 7; 14; 4; 1,2,1,1; 1.1
BronchoscopyVideo_1_20250325T093638_openCV_129.mhd; 1742891811436; 1742891811428; 39; 6; 14; 4; 1,2,1,1; 1.5
BronchoscopyVideo_1_20250325T093638_openCV_130.mhd; 1742891811536; 1742891811528; 39; 7; 14; 4; 1,2,1,1; 2.2
BronchoscopyVideo_1_20250325T093638_openCV_131.mhd; 1742891811636; 1742891811628; 39; 8; 14; 4; 1,2,1,1; 2.6
BronchoscopyVideo_1_20250325T093638_openCV_132.mhd; 1742891811736; 1742891811728; 39; 10; 14; 4; 1,2,1,1; 4.8
BronchoscopyVideo_1_20250325T093638_openCV_133.mhd; 1742891811836; 1742891811828; 70; 7; 19; 5; 1,2,1,2,1; 6.3
BronchoscopyVideo_1_20250325T093638_openCV_134.mhd; 1742891811936; 1742891811927; 70; 8; 19; 5; 1,2,1,2,1; 5.3
BronchoscopyVideo_1_20250325T093638_openCV_135.mhd; 1742891812036; 1742891812027; 70; 9; 19; 5; 1,2,1,2,1; 5.5
BronchoscopyVideo_1_20250325T093638_openCV_136.mhd; 1742891812136; 1742891812127; 70; 10; 19; 5; 1,2,1,2,1; 5.8
BronchoscopyVideo_1_20250325T093638_openCV_137.mhd; 1742891812236; 1742891812227; 70; 10; 19; 5; 1,2,1,2,1; 5.5
BronchoscopyVideo_1_20250325T093638_openCV_138.mhd; 1742891812336; 1742891812327; 70; 10; 19; 5; 1,2,1,2,1; 6.3
BronchoscopyVideo_1_20250325T093638_openCV_139.mhd; 1742891812436; 1742891812427; 69; 9; 28; 5; 1,2,1,2,2; 6.3
BronchoscopyVideo_1_20250325T093638_openCV_140.mhd; 1742891812536; 1742891812527; 69; 9; 28; 5; 1,2,1,2,2; 6.2
BronchoscopyVideo_1_20250325T093638_openCV_141.mhd; 1742891812636; 1742891812627; 69; 9; 28; 5; 1,2,1,2,2; 5.5
BronchoscopyVideo_1_20250325T093638_openCV_142.mhd; 1742891812736; 1742891812727; 69; 10; 28; 5; 1,2,1,2,2; 4.8
BronchoscopyVideo_1_20250325T093638_openCV_143.mhd; 1742891812836; 1742891812827; 69; 9; 28; 5; 1,2,1,2,2; 4.2
BronchoscopyVideo_1_20250325T093638_openCV_144.mhd; 1742891812936; 1742891812927; 69; 8; 28; 5; 1,2,1,2,2; 2.8
BronchoscopyVideo_1_20250325T093638_openCV_145.mhd; 1742891813036; 1742891813027; 69; 8; 28; 5; 1,2,1,2,2; 2.6
BronchoscopyVideo_1_20250325T093638_openCV_146.mhd; 1742891813136; 1742891813127; 70; 7; 19; 5; 1,2,1,2,1; 2.5
BronchoscopyVideo_1_20250325T093638_openCV_147.mhd; 1742891813236; 1742891813227; 70; 4; 19; 5; 1,2,1,2,1; 4.5
BronchoscopyVideo_1_20250325T093638_openCV_148.mhd; 1742891813336; 1742891813327; 38; 8; 10; 4; 1,2,1,2; 4.1
BronchoscopyVideo_1_20250325T093638_openCV_149.mhd; 1742891813436; 1742891813427; 39; 8; 14; 4; 1,2,1,1; 2.7
BronchoscopyVideo_1_20250325T093638_openCV_150.mhd; 1742891813536; 1742891813526; 39; 9; 14; 4; 1,2,1,1; 1.2
BronchoscopyVideo_1_20250325T093638_openCV_151.mhd; 1742891813636; 1742891813626; 39; 9; 14; 4; 1,2,1,1; 1.3
BronchoscopyVideo_1_20250325T093638_openCV_152.mhd; 1742891813736; 1742891813726; 39; 9; 14; 4; 1,2,1,1; 2.5
BronchoscopyVideo_1_20250325T093638_openCV_153.mhd; 1742891813836; 1742891813827; 38; 7; 10; 4; 1,2,1,2; 4.8
BronchoscopyVideo_1_20250325T093638_openCV_154.mhd; 1742891813936; 1742891813925; 70; 4; 19; 5; 1,2,1,2,1; 5.1
BronchoscopyVideo_1_20250325T093638_openCV_155.mhd; 1742891814036; 1742891814026; 70; 4; 19; 5; 1,2,1,2,1; 5.3
BronchoscopyVideo_1_20250325T093638_openCV_156.mhd; 1742891814136; 1742891814125; 70; 5; 19; 5; 1,2,1,2,1; 4.9
BronchoscopyVideo_1_20250325T093638_openCV_157.mhd; 1742891814236; 1742891814225; 70; 4; 19; 5; 1,2,1,2,1; 5.3
BronchoscopyVideo_1_20250325T093638_openCV_158.mhd; 1742891814336; 1742891814325; 70; 10; 19; 5; 1,2,1,2,1; 4.4
BronchoscopyVideo_1_20250325T093638_openCV_159.mhd; 1742891814436; 1742891814426; 70; 12; 19; 5; 1,2,1,2,1; 4
BronchoscopyVideo_1_20250325T093638_openCV_160.mhd; 1742891814536; 1742891814525; 70; 14; 19; 5; 1,2,1,2,1; 4.6
BronchoscopyVideo_1_20250325T093638_openCV_161.mhd; 1742891814636; 1742891814625; 70; 15; 19; 5; 1,2,1,2,1; 5
BronchoscopyVideo_1_20250325T093638_openCV_162.mhd; 1742891814736; 1742891814725; 70; 17; 19; 5; 1,2,1,2,1; 4.8
BronchoscopyVideo_1_20250325T093638_openCV_163.mhd; 1742891814836; 1742891814825; 68; 2; 23; 6; 1,2,1,2,1,1; 3.8
BronchoscopyVideo_1_20250325T093638_openCV_164.mhd; 1742891814936; 1742891814925; 68; 4; 23; 6; 1,2,1,2,1,1; 2.4
BronchoscopyVideo_1_20250325T093638_openCV_165.mhd; 1742891815036; 1742891815025; 68; 5; 23; 6; 1,2,1,2,1,1; 1.9
BronchoscopyVideo_1_20250325T093638_openCV_166.mhd; 1742891815136; 1742891815125; 68; 8; 23; 6; 1,2,1,2,1,1; 0.5
BronchoscopyVideo_1_20250325T093638_openCV_167.mhd; 1742891815236; 1742891815225; 68; 9; 23; 6; 1,2,1,2,1,1; 0.3
BronchoscopyVideo_1_20250325T093638_openCV_168.mhd; 1742891815336; 1742891815325; 68; 9; 23; 6; 1,2,1,2,1,1; 0.5
BronchoscopyVideo_1_20250325T093638_openCV_169.mhd; 1742891815436; 1742891815425; 68; 8; 23; 6; 1,2,1,2,1,1; 1.7
BronchoscopyVideo_1_20250325T093638_openCV_170.mhd; 1742891815536; 1742891815525; 68; 3; 23; 6; 1,2,1,2,1,1; 4.1
BronchoscopyVideo_1_20250325T093638_openCV_171.mhd; 1742891815636; 1742891815625; 70; 11; 19; 5; 1,2,1,2,1; 5.3
BronchoscopyVideo_1_20250325T093638_openCV_172.mhd; 1742891815736; 1742891815725; 70; 7; 19; 5; 1,2,1,2,1; 5.3
BronchoscopyVideo_1_20250325T093638_openCV_173.mhd; 1742891815836; 1742891815825; 39; 9; 14; 4; 1,2,1,1; 4.1
BronchoscopyVideo_1_20250325T093638_openCV_174.mhd; 1742891815936; 1742891815925; 39; 8; 14; 4; 1,2,1,1; 2.5
BronchoscopyVideo_1_20250325T093638_openCV_175.mhd; 1742891816036; 1742891816024; 39; 8; 14; 4; 1,2,1,1; 2.4
BronchoscopyVideo_1_20250325T093638_openCV_176.mhd; 1742891816136; 1742891816124; 39; 8; 14; 4; 1,2,1,1; 3.5
BronchoscopyVideo_1_20250325T093638_openCV_177.mhd; 1742891816236; 1742891816224; 39; 10; 14; 4; 1,2,1,1; 4.6
BronchoscopyVideo_1_20250325T093638_openCV_178.mhd; 1742891816336; 1742891816324; 39; 10; 14; 4; 1,2,1,1; 5.5
BronchoscopyVideo_1_20250325T093638_openCV_179.mhd; 1742891816436; 1742891816424; 39; 10; 14; 4; 1,2,1,1; 5.9
BronchoscopyVideo_1_20250325T093638_openCV_180.mhd; 1742891816536; 1742891816524; 39; 11; 14; 4; 1,2,1,1; 5.9
BronchoscopyVideo_1_20250325T093638_openCV_181.mhd; 1742891816636; 1742891816624; 36; 5; 15; 5; 1,2,1,1,2; 4.3
BronchoscopyVideo_1_20250325T093638_openCV_182.mhd; 1742891816736; 1742891816724; 36; 7; 15; 5; 1,2,1,1,2; 3.4
BronchoscopyVideo_1_20250325T093638_openCV_183.mhd; 1742891816836; 1742891816848; 36; 8; 15; 5; 1,2,1,1,2; 2.7
BronchoscopyVideo_1_20250325T093638_openCV_184.mhd; 1742891816936; 1742891816948; 36; 9; 15; 5; 1,2,1,1,2; 3.5
BronchoscopyVideo_1_20250325T093638_openCV_185.mhd; 1742891817036; 1742891817048; 36; 10; 15; 5; 1,2,1,1,2; 3.8
BronchoscopyVideo_1_20250325T093638_openCV_186.mhd; 1742891817136; 1742891817148; 36; 10; 15; 5; 1,2,1,1,2; 3.9
BronchoscopyVideo_1_20250325T093638_openCV_187.mhd; 1742891817236; 1742891817248; 36; 10; 15; 5; 1,2,1,1,2; 4.9
BronchoscopyVideo_1_20250325T093638_openCV_188.mhd; 1742891817336; 1742891817348; 36; 12; 15; 5; 1,2,1,1,2; 7.4
BronchoscopyVideo_1_20250325T093638_openCV_189.mhd; 1742891817436; 1742891817448; 63; 3; 21; 6; 1,2,1,1,2,2; 8.8
BronchoscopyVideo_1_20250325T093638_openCV_190.mhd; 1742891817536; 1742891817548; 63; 5; 21; 6; 1,2,1,1,2,2; 8.7
BronchoscopyVideo_1_20250325T093638_openCV_191.mhd; 1742891817636; 1742891817648; 63; 6; 21; 6; 1,2,1,1,2,2; 8.3
BronchoscopyVideo_1_20250325T093638_openCV_192.mhd; 1742891817736; 1742891817748; 63; 8; 21; 6; 1,2,1,1,2,2; 8.1
BronchoscopyVideo_1_20250325T093638_openCV_193.mhd; 1742891817836; 1742891817848; 63; 9; 21; 6; 1,2,1,1,2,2; 7.4
BronchoscopyVideo_1_20250325T093638_openCV_194.mhd; 1742891817936; 1742891817948; 63; 9; 21; 6; 1,2,1,1,2,2; 6.5
BronchoscopyVideo_1_20250325T093638_openCV_195.mhd; 1742891818036; 1742891818048; 63; 9; 21; 6; 1,2,1,1,2,2; 5.7
BronchoscopyVideo_1_20250325T093638_openCV_196.mhd; 1742891818136; 1742891818147; 63; 9; 21; 6; 1,2,1,1,2,2; 5
BronchoscopyVideo_1_20250325T093638_openCV_197.mhd; 1742891818236; 1742891818248; 63; 10; 21; 6; 1,2,1,1,2,2; 5
BronchoscopyVideo_1_20250325T093638_openCV_198.mhd; 1742891818336; 1742891818347; 63; 12; 21; 6; 1,2,1,1,2,2; 3.9
BronchoscopyVideo_1_20250325T093638_openCV_199.mhd; 1742891818436; 1742891818448; 63; 12; 21; 6; 1,2,1,1,2,2; 3.2
BronchoscopyVideo_1_20250325T093638_openCV_200.mhd; 1742891818536; 1742891818546; 63; 12; 21; 6; 1,2,1,1,2,2; 3.3
BronchoscopyVideo_1_20250325T093638_openCV_201.mhd; 1742891818636; 1742891818647; 63; 12; 21; 6; 1,2,1,1,2,2; 3.8
BronchoscopyVideo_1_20250325T093638_openCV_202.mhd; 1742891818736; 1742891818746; 63; 11; 21; 6; 1,2,1,1,2,2; 3.3
BronchoscopyVideo_1_20250325T093638_openCV_203.mhd; 1742891818836; 1742891818846; 63; 11; 21; 6; 1,2,1,1,2,2; 3.9
